City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Vila Franca do Campo,PT,37.7167,-25.4333,59.41,79,74,10.92,broken clouds
1,Mahébourg,MU,-20.4081,57.7,79.25,83,40,2.3,light rain
2,Punta Arenas,CL,-53.15,-70.9167,68.11,40,0,28.77,clear sky
3,Atuona,PF,-9.8,-139.0333,78.69,79,93,22.01,overcast clouds
4,Clyde River,CA,70.4692,-68.5914,-27.17,75,20,10.36,few clouds
5,Itarema,BR,-2.9248,-39.9167,81.88,73,100,12.64,overcast clouds
6,Bilibino,RU,68.0546,166.4372,0.39,96,99,2.59,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,69.46,40,40,11.5,scattered clouds
8,Norman Wells,CA,65.282,-126.8329,-29.16,68,75,4.61,broken clouds
9,Rocha,UY,-34.4833,-54.3333,67.46,94,100,9.4,moderate rain
10,Emerald,AU,-23.5333,148.1667,80.35,55,100,10.92,light rain
11,Port Alfred,ZA,-33.5906,26.891,70.18,92,2,1.99,clear sky
12,Port Lincoln,AU,-34.7333,135.8667,58.82,56,100,23.11,overcast clouds
13,Jamestown,US,42.097,-79.2353,35.71,39,0,17.27,clear sky
14,Klaksvík,FO,62.2266,-6.589,43.72,97,100,20.71,moderate rain
15,Fort Smith,US,35.3859,-94.3986,37.18,90,100,6.91,mist
16,Oranjemund,NA,-28.55,16.4333,62.35,87,0,17.54,clear sky
17,Malanje,AO,-9.5402,16.341,68.58,81,96,3.42,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,79.02,72,66,15.55,broken clouds
19,Husavik,IS,66.0449,-17.3389,31.23,84,100,24.72,light snow
20,Saskylakh,RU,71.9167,114.0833,-13.45,99,100,2.82,overcast clouds
21,New Norfolk,AU,-42.7826,147.0587,45.9,80,12,2.04,few clouds
22,Roswell,US,34.0232,-84.3616,50.0,94,100,4.61,mist
23,Carnarvon,AU,-24.8667,113.6333,83.32,60,43,12.37,scattered clouds
24,Hithadhoo,MV,-0.6,73.0833,82.33,64,84,14.27,broken clouds
25,Bredasdorp,ZA,-34.5322,20.0403,64.2,71,1,2.86,clear sky
26,Busselton,AU,-33.65,115.3333,61.29,82,2,15.41,clear sky
27,Semenivka,UA,52.1783,32.5818,30.54,98,98,7.54,light snow
28,Khatanga,RU,71.9667,102.5,-30.98,100,74,1.3,broken clouds
29,Avarua,CK,-21.2078,-159.775,82.45,83,100,13.8,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,71.1,89,20,10.36,few clouds
31,Monrovia,LR,6.3005,-10.7969,80.37,85,17,7.27,few clouds
32,Champerico,GT,14.3,-91.9167,95.54,56,6,12.66,clear sky
33,Eilat,IL,29.5581,34.9482,57.04,41,0,4.61,clear sky
34,Akropong,GH,5.9746,-0.0854,77.95,63,12,4.56,few clouds
35,Albany,US,42.6001,-73.9662,37.58,39,11,3.0,few clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,40,8.05,scattered clouds
37,Baldwin,US,30.7505,-87.7667,76.86,79,100,3.71,overcast clouds
38,Lavrentiya,RU,65.5833,-171.0,0.52,93,14,9.04,few clouds
39,Castro,BR,-24.7911,-50.0119,69.04,94,100,8.01,moderate rain
40,Sitka,US,57.0531,-135.33,40.89,75,100,4.61,light rain
41,São Filipe,CV,14.8961,-24.4956,71.8,72,13,12.39,few clouds
42,Hobart,AU,-42.8794,147.3294,46.26,93,0,9.22,clear sky
43,Christchurch,NZ,-43.5333,172.6333,78.91,56,100,8.05,overcast clouds
44,Meulaboh,ID,4.1363,96.1285,76.5,89,100,4.18,overcast clouds
45,Vaini,TO,-21.2,-175.2,80.76,89,75,13.8,light rain
46,Guane,CU,22.2025,-84.0875,84.38,53,12,10.09,few clouds
47,Mataura,NZ,-46.1927,168.8643,67.39,79,26,0.83,scattered clouds
48,Cam Ranh,VN,11.9214,109.1591,76.96,88,75,9.22,broken clouds
49,Yangi Marg`ilon,UZ,40.4272,71.7189,41.72,87,75,6.91,light intensity shower rain
50,Mercedes,AR,-34.6515,-59.4307,78.78,62,26,7.78,scattered clouds
51,Kapaa,US,22.0752,-159.319,76.98,91,75,6.91,light rain
52,Necochea,AR,-38.5473,-58.7368,72.97,64,50,14.23,scattered clouds
53,Besançon,FR,47.2488,6.0182,41.2,88,100,3.65,overcast clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,85.96,87,100,10.0,light rain
55,Torres,BR,-29.3353,-49.7269,80.83,82,98,9.1,overcast clouds
56,Rye,US,40.9807,-73.6837,41.81,37,0,7.0,clear sky
57,Cape Town,ZA,-33.9258,18.4232,67.87,67,0,20.71,clear sky
58,Seymchan,RU,62.8833,152.4333,-26.39,100,97,0.98,overcast clouds
59,Bermejo,AR,-32.8833,-68.8,87.71,35,20,8.05,few clouds
60,Saint Paul Harbor,US,57.79,-152.4072,24.31,86,40,4.61,scattered clouds
61,Qaanaaq,GL,77.484,-69.3632,-0.36,59,4,9.37,clear sky
62,Grindavik,IS,63.8424,-22.4338,35.82,80,100,36.39,light rain
63,Lokosovo,RU,61.1333,74.8167,4.03,100,100,4.5,overcast clouds
64,Fortuna,US,40.5982,-124.1573,59.94,28,20,25.32,few clouds
65,Alta Floresta,BR,-9.8756,-56.0861,80.46,84,96,1.03,overcast clouds
66,Mūl,IN,20.0667,79.6667,60.53,20,64,5.64,broken clouds
67,Codrington,AU,-38.2667,141.9667,49.28,83,100,17.34,light rain
68,Pechenga,RU,69.5259,31.1703,13.91,94,100,3.96,overcast clouds
69,Havøysund,NO,70.9963,24.6622,28.63,74,100,3.83,light snow
70,Mananjary,MG,-21.2167,48.3333,74.98,87,100,6.04,light rain
71,Ust-Tsilma,RU,65.441,52.1498,3.29,100,95,2.98,overcast clouds
72,Iskateley,RU,67.6803,53.1512,8.58,96,52,8.01,broken clouds
73,Saint-Augustin,CA,51.226,-58.6502,1.51,88,98,2.68,overcast clouds
74,Cidreira,BR,-30.1811,-50.2056,79.45,75,100,12.95,overcast clouds
75,Gigmoto,PH,13.7796,124.39,78.04,87,47,14.03,scattered clouds
76,Sarankhola,BD,22.3082,89.7897,59.56,56,100,5.55,overcast clouds
77,Katsuura,JP,35.1333,140.3,42.98,63,100,13.56,overcast clouds
78,Elko,US,41.0002,-115.5012,21.63,54,5,1.01,clear sky
79,Mamontovo,RU,52.7055,81.6244,1.2,94,98,3.51,overcast clouds
80,Bellavista,PE,-7.0561,-76.5911,78.28,89,100,3.44,overcast clouds
81,Ilulissat,GL,69.2167,-51.1,6.82,56,75,1.14,broken clouds
82,Doha,QA,25.2867,51.5333,69.78,85,75,10.36,broken clouds
83,Novikovo,RU,51.1537,37.8879,29.08,96,98,7.85,overcast clouds
84,George Town,MY,5.4112,100.3354,78.73,100,20,2.3,few clouds
85,Antalaha,MG,-14.9003,50.2788,76.08,87,3,8.95,clear sky
86,Longyearbyen,SJ,78.2186,15.6401,4.84,78,20,17.27,few clouds
87,Butaritari,KI,3.0707,172.7902,80.56,78,100,18.77,light rain
88,Kaitangata,NZ,-46.2817,169.8464,68.14,71,42,5.44,light rain
89,Umluj,SA,25.0213,37.2685,65.55,57,0,13.42,clear sky
90,Bluff,NZ,-46.6,168.3333,62.94,95,85,3.98,overcast clouds
91,Airai,TL,-8.9266,125.4092,61.23,96,100,2.93,overcast clouds
92,Okoneshnikovo,RU,54.8377,75.0834,-9.02,100,70,1.72,broken clouds
93,Cristalina,BR,-16.7686,-47.6136,75.0,63,91,5.1,overcast clouds
94,Decatur,US,39.8403,-88.9548,44.35,49,0,12.66,clear sky
95,Camacha,PT,33.0833,-16.3333,56.62,58,40,10.36,scattered clouds
96,Hässleholm,SE,56.1591,13.7664,27.75,77,100,0.98,overcast clouds
97,Hermanus,ZA,-34.4187,19.2345,63.81,77,12,5.7,few clouds
98,Mossamedes,AO,-15.1961,12.1522,72.84,77,50,5.53,scattered clouds
