City,Country,Max Temp,Weather Description,Latitude,Longitude,Hotel Name
Mahébourg,MU,79.25,light rain,-20.4081,57.7,Grand Bel Air
Atuona,PF,78.69,overcast clouds,-9.8,-139.0333,Pearl Resort
Itarema,BR,81.88,overcast clouds,-2.9248,-39.9167,Pousada Oásis
Emerald,AU,80.35,light rain,-23.5333,148.1667,Emerald Central Hotel
Rikitea,PF,79.02,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
Hithadhoo,MV,82.33,broken clouds,-0.6,73.0833,Pebbles Inn
Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
Port Elizabeth,ZA,71.1,few clouds,-33.918,25.5701,Waterford Hotel
Monrovia,LR,80.37,few clouds,6.3005,-10.7969,Bella Casa Hotel
São Filipe,CV,71.8,few clouds,14.8961,-24.4956,Bela Vista
Christchurch,NZ,78.91,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
Meulaboh,ID,76.5,overcast clouds,4.1363,96.1285,Hotel Meuligou
Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti International Resort
Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,Khách sạn Thái Bình
Mercedes,AR,78.78,scattered clouds,-34.6515,-59.4307,Gran Hotel Mercedes
Kapaa,US,76.98,light rain,22.0752,-159.319,Pono Kai Resort
Necochea,AR,72.97,scattered clouds,-38.5473,-58.7368,Cabañas Río Quequén
Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
Torres,BR,80.83,overcast clouds,-29.3353,-49.7269,Residencial Medusa
Bermejo,AR,87.71,few clouds,-32.8833,-68.8,Muras Aparte Hotel
Alta Floresta,BR,80.46,overcast clouds,-9.8756,-56.0861,Villas Hotel
Mananjary,MG,74.98,light rain,-21.2167,48.3333,Ideal Hotel Annexe
Cidreira,BR,79.45,overcast clouds,-30.1811,-50.2056,Hotel Castelo
Doha,QA,69.78,broken clouds,25.2867,51.5333,Al MIrqab
George Town,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
Antalaha,MG,76.08,clear sky,-14.9003,50.2788,Hôtel Florida
Cristalina,BR,75.0,overcast clouds,-16.7686,-47.6136,Goyás
Mossamedes,AO,72.84,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
Ahipara,NZ,70.9,overcast clouds,-35.1667,173.1667,YHA Ahipara
Hilo,US,83.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
Isangel,VU,81.99,clear sky,-19.55,169.2667,Tanna Lodge
